s,Source,Context,Max Line Width,English,Francais,German
quest,,Category,,Quest,,
challenege,,Category,,Challenge,,
treasure,,Category,,Treasure,,
bonus,,Category,,Bonus,,
questChain,,Category,,Quest Chain,,
difficulty_veryeasy,,Difficulty,,Very Easy,,
difficulty_easy,,Difficulty,,Easy,,
difficulty_medium,,Difficulty,,Medium,,
difficulty_hard,,Difficulty,,Hard,,
difficulty_insane,,Difficulty,,Insane,,
started,,Keywords,,Started,,
completed,,Keywords,,Completed,,
failed,,Keywords,,Failed,,
optional,,Keywords,,Optional,,
RewardTypeQuest,,Keywords,,Reward,,
RewardTypeChainQuest,,Keywords,,Chain Reward,,
ObjectiveAnimalKill_keyword,,Keywords,,Kill,,
ObjectiveAssemble_keyword,,Keywords,,Assemble,,
ObjectiveBlockPickup_keyword,,Keywords,,Pickup,,
ObjectiveBlockPlace_keyword,,Keywords,,Place,,
ObjectiveBlockUpgrade_keyword,,Keywords,,Upgrade,,
ObjectiveBuff_keyword,,Keywords,,Get,,
ObjectiveCraft_keyword,,Keywords,,Craft,,
ObjectiveFetch_keyword,,Keywords,,Gather,,
ObjectiveExchangeItemFrom_keyword,,Keywords,,Fill,,
ObjectiveOpenWindow_keyword,,Keywords,,Open {0} Window,,
ObjectiveRepair_keyword,,Keywords,,Repair,,
ObjectiveScrap_keyword,,Keywords,,Scrap,,
ObjectiveSpendSkillPoints_keyword,,Keywords,,Purchase {0} Skill Level(s),,
ObjectiveTime_keyword,,Keywords,,Time,,
ObjectiveTreasureChest_keyword,,Keywords,,Treasure Found,,
ObjectiveWear_keyword,,Keywords,,Wear,,
ObjectiveZombieKill_keyword,,Keywords,,Kill,,
RequirementBuff_keyword,,Keywords,,Effect,,
RequirementHolding_keyword,,Keywords,,Using,,
RequirementLevel_keyword,,Keywords,,Level,,
RequirementWearing_keyword,,Keywords,,Wear,,
RewardExp_keyword,,Keywords,,EXP,,
RewardLevel_keyword,,Keywords,,Level,,
RewardQuest_keyword,,Keywords,,New Quest,,
RewardRecipe_keyword,,Keywords,,Recipe Unlocked,,
RewardSkill_keyword,,Keywords,,Skill,,
RewardSkillPoint_keyword,,Keywords,,Skill Point,,
requirementGroupFireaxe,,Requirement Group,,Holding Fire Axe,,
requirementGroupShotgun,,Requirement Group,,Holding Shotgun,,
tutorialTipQuest01,,Popup Tip,,"Hello Zombie bait, Welcome to the True Survival Mod.This mod is designed to make you responsible for every decision you make.Please choose your profession to get started, you will be able to learn others later by collecting 20 Profession Pages.To view all crafting workstations type work into you crafting search. Remember you don’t have to out run the zombies you just have to out run your friend.Good luck,Spider",,
tutorialTipQuest02,,Popup Tip,,"Basic Survival is your active quest. The quest's status is displayed on the Objective Tracker in the top right of the screen. For more information on quests, access your Inventory and navigate to the Quests menu. To learn other Professions collect 20 Profession Pages. To view all crafting workstations type work into you crafting search.",,
tutorialTipQuest03,,Popup Tip,,"You've earned a Skill Point for completing the Basic Survival Quest. Spend it by accessing your Inventory and navigating to the Skills menu, then highlight the desired Skill or Perk and purchase it.",,
quest_BasicSurvival,,Quest Info,,Basic Survival,,
quest_BasicSurvival1,,Quest Info,,Basic Survival 1/9,,
quest_BasicSurvival1_subtitle,,Quest Info,,Choose your Profession,,
quest_BasicSurvival1_description,,Quest Info,,"Use your Start Here item and craft the Profession of your choice. After you have crafted your Profession Case place it on the ground and use the Profession key to unlock it. Loot your Skill Books and pick up your starting gear and Keystone. To learn other Professions collect 20 Profession Pages. To view all crafting workstations type work into you crafting search.",,
quest_BasicSurvival9,,Quest Info,,Basic Survival 2/9,,
quest_BasicSurvival9_subtitle,,Quest Info,,Craft a Stone Axe,,
quest_BasicSurvival9_description,,Quest Info,,"Craft a Stone Axe to help you defend yourself and gather crafting ingredients. Gather the ingredients by attacking grass, stone, or wood objects. You can also pick up small stones by looking at them and using the Pickup action. Once you have the ingredients, access the Inventory and locate Stone Axe in the Basics category of the Crafting window. Craft a Stone Axe.",,
quest_BasicSurvival2,,Quest Info,,Basic Survival 3/9,,
quest_BasicSurvival2_subtitle,,Quest Info,,Craft Plant Fiber Clothing,,
quest_BasicSurvival2_description,,Quest Info,,"Craft plant fiber clothing to protect you from damage and keep you warm in cold weather. Gather plant fibers by attacking grass and small plants. Once you have the ingredients, access the Inventory and locate the Clothing category of the Crafting window. Craft plant fiber clothing.",,
quest_BasicSurvival3,,Quest Info,,Basic Survival 4/9,,
quest_BasicSurvival3_subtitle,,Quest Info,,Wear Plant Fiber Clothing,,
quest_BasicSurvival3_description,,Quest Info,,"To wear your plant fiber clothing, access the Inventory and select an article of clothing, then select Wear in the Action window. Once dressed, access the Character menu to see the insulation and defense your worn clothing provides in the top left of the Character window.",,
quest_BasicSurvival4,,Quest Info,,Basic Survival 5/9,,
quest_BasicSurvival4_subtitle,,Quest Info,,Craft Wooden Club,,
quest_BasicSurvival4_description,,Quest Info,,"Gather wood by attacking trees or bushes. Once you have the ingredients, access the Inventory and locate Wooden Club in the Basics category of the Crafting window. Craft a Wooden Club.",,
quest_BasicSurvival5,,Quest Info,,Basic Survival 6/9,,
quest_BasicSurvival5_subtitle,,Quest Info,,Craft Bow & Arrows,,
quest_BasicSurvival5_description,,Quest Info,,"Now that you have a melee weapon, you could use a ranged weapon. Gather wood, stone, plant fibers and feathers found in bird nests on the ground. Once you have the ingredients, access the Basics category of the Crafting window. Craft a Wooden Bow and Arrows.",,
quest_BasicSurvival6,,Quest Info,,Basic Survival 9/9,,
quest_BasicSurvival6_subtitle,,Quest Info,,Start a Base,,
quest_BasicSurvival6_description,,Quest Info,,Gather wood and Craft Wooden Frames from the Basics category of the Crafting window. Place Wooden Frames in the world by equipping them and using the secondary action. Upgrade them with a Stone Axe using the secondary action while you have extra wood in your Inventory.,,
quest_BasicSurvival7,,Quest Info,,Basic Survival 7/9,,
quest_BasicSurvival7_subtitle,,Quest Info,,Craft a Bedroll,,
quest_BasicSurvival7_description,,Quest Info,,"Craft a Bedroll by gathering plant fibers. Once you have the ingredients open your crafting inventory, navigate to the basics recipe category, highlight the recipe and click the craft button. \n\nPlace the Bedroll in the world by first equipping it and using the secondary action key. Once placed you'll see a Bed Icon on your compass and map. This will lead you back to your home and will act as a re-spawn point if you die.",,
quest_BasicSurvival8,,Quest Info,,Basic Survival 8/9,,
quest_BasicSurvival8_subtitle,,Quest Info,,Build a Campfire,,
quest_BasicSurvival8_description,,Quest Info,,Gather small stones and Craft a Campfire from the Basics category of the Crafting window. Equip the Campfire and place it in the world using the secondary action. Once placed you can use the campfire to warm yourself or cook.,,
challenge_silenceofthelambs,,Challenge Info,,Silence of the Lambs,,
challenge_silenceofthelambs_offer,,Challenge Info,,"Dear Survivor,\nIf you've found this note then you know my crew and I have been watching you from afar. You're pretty good at survival but let's see if you can pass this test and just maybe we'll let you join our clan.\n\nGood Luck, Crazy Jake\n\nChallenge: Kill a screamer zombie.",,
challenge_silenceofthelambs_subtitle,,Challenge Info,,Kill some Screamer Zombie,,
challenge_drunkanddisorderly,,Challenge Info,,Drunk and Disorderly,,
challenge_drunkanddisorderly_offer,,Challenge Info,,"Listen Punk,\nIf you've come to possess this note then know this. We've been watching you. You're pretty crafty but let's see if you can do this task and just maybe you can join our little band of merry survivors.\n\nCrazy is my middle name...Jake\n\nChallenge: Kill some zombies with your fists while drunk",,
challenge_drunkanddisorderly_subtitle,,Challenge Info,,Fist Fight Zombies Drunk,,
challenge_nurseyoubacktohealth,,Challenge Info,,Nurse You Back to Health,,
challenge_nurseyoubacktohealth_offer,,Challenge Info,,"Hey Survivor,\nIf you've come into possession of this note than you should know we've been tailing you. We like your style but before we roll out the red carpet to our camp let's see if you can handle this little test.\n\nCrazy ‘and I like it' Jake\n\nChallenge: Kill some nurse zombies",,
challenge_nurseyoubacktohealth_subtitle,,Challenge Info,,Kill some Nurse Zombies,,
challenge_copanattitude,,Challenge Info,,Cop an Attitude,,
challenge_copanattitude_offer,,Challenge Info,,"Traveler,\nThe fact that you're reading this note is no accident. My boys have been watching you and we're always looking for new recruits that are still on the living side of things. But before we get all chummy we'd like you to do this little thing to see what you're made of.\n\nThey call me Crazy Jake\n\nChallenge: Kill some zombie cops",,
challenge_copanattitude_subtitle,,Challenge Info,,Kill some Zombie Cops,,
challenge_dogdaysareover,,Challenge Info,,The Dog Days Are Over,,
challenge_dogdaysareover_offer,,Challenge Info,,"Congrats Recruit,\nThis note is a personal invitation to join our clan. We've been following you and see potential. Do this this job and we'll think about letting you join. Let's see if you're tough enough to kill some zombie dogs.\n\nI'm fucking Crazy Jake\n\nChallenge: Kill some zombie dogs",,
challenge_dogdaysareover_subtitle,,Challenge Info,,Kill some Zombie Dogs,,
challenge_itsybitsyspider,,Challenge Info,,Itsy Bitsy Spider,,
challenge_itsybitsyspider_offer,,Challenge Info,,"Hey Jackass,\nIf you're reading this note it should come as no surprise that we've been sizing you up. I've got just the test for a simpleton like you. Do it and we might take you in.\n\nCrazier than ever... Jake\n\nChallenge: Kill some spider zombies",,
challenge_itsybitsyspider_subtitle,,Challenge Info,,Kill some Spider Zombies,,
challenge_ladykiller,,Challenge Info,,Lady Killer,,
challenge_ladykiller_offer,,Challenge Info,,"Dear Stranger,\nMy crew have been following you and have reported some potential. That said if you can pass this challenge we may have room for one more new recruit in our camp.\n\nCrazy ‘Like a Fox' Jake\n\nChallenge: Kill some female zombies",,
challenge_ladykiller_subtitle,,Challenge Info,,Kill some Female Zombies,,
challenge_maneater,,Challenge Info,,The Man Eater,,
challenge_maneater_offer,,Challenge Info,,"Hey Asshole,\nThe wasteland is a lonely desolate place. We've been looking in on you and think you might be a good addition to our clan. But before we take in another mouth to feed you'll need to prove yourself worthy. Do this task and we'll consider taking you in.\n\nCrazy ‘but still kicking' Jake\n\nChallenge: Kill some male zombies",,
challenge_maneater_subtitle,,Challenge Info,,Kill some Male Zombies,,
challenge_imalumberjackandimokay,,Challenge Info,,I'm a Lumberjack and I'm Okay,,
